NoCiv,NoCivSuf,Nomrue,OdoGener,OdoParti,OdoSpeci,join_key,code_postal
311,,Rue Jordan,Rue,,Jordan,311 RUE JORDAN,
2838,,Croissant des Grives,Croissant,des,Grives,2838 CROISSANT DES GRIVES,
357,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel,357 RUE DE ST-GABRIEL,
2970,,Boulevard de Mascouche,Boulevard,de,Mascouche,2970 BOUL DE MASCOUCHE,
741,,Rue de l'Oural,Rue,de l',Oural,741 RUE DE L'OURAL,
976,,Rue Le Gardeur,Rue,,Le Gardeur,976 RUE LE GARDEUR,
893,,Rue George-Sand,Rue,,George-Sand,893 RUE GEORGE-SAND,
1250,,Rue d'Anjou,Rue,d',Anjou,1250 RUE D'ANJOU,
3435,,Avenue de Charlevoix,Avenue,de,Charlevoix,3435 AV DE CHARLEVOIX,
434,,Rue Caron,Rue,,Caron,434 RUE CARON,
2913,,Rue de Calais,Rue,de,Calais,2913 RUE DE CALAIS,
1494,,Avenue Louise,Avenue,,Louise,1494 AV LOUISE,
444,,Rue Caron,Rue,,Caron,444 RUE CARON,
838,,Rue Viola,Rue,,Viola,838 RUE VIOLA,
2496,,Rue du Mans,Rue,du,Mans,2496 RUE DU MANS,
1052,,Rue de Berthier,Rue,de,Berthier,1052 RUE DE BERTHIER,
2862,,Croissant des Orioles,Croissant,des,Orioles,2862 CROISSANT DES ORIOLES,
1485,,Chemin de la Côte-Georges,Chemin,de la,Côte-Georges,1485 CH DE LA COTE-GEORGES,
2880,,Place Marie-Victorin,Place,,Marie-Victorin,2880 PLACE MARIE-VICTORIN,
544,,Rue du Grand-Héron,Rue,du,Grand-Héron,544 RUE DU GRAND-HERON,
1350,,Rue Barott,Rue,,Barott,1350 RUE BAROTT,
2294,,Rue Bélanger,Rue,,Bélanger,2294 RUE BELANGER,
1318,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1318 CH STE-MARIE,
3031,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,3031 CH STE-MARIE,
1611,,Rue Barott,Rue,,Barott,1611 RUE BAROTT,
1082,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1082 AV DE CHATEAUBRIANT,
354,,Place Sullivan,Place,,Sullivan,354 PLACE SULLIVAN,
1158,,Avenue de Châteaubriant,Avenue,de,Châteaubriant,1158 AV DE CHATEAUBRIANT,
1136,,Chemin Pincourt,Chemin,,Pincourt,1136 CH PINCOURT,
604,,Rue Chauveau,Rue,,Chauveau,604 RUE CHAUVEAU,
2706,,Croissant des Grives,Croissant,des,Grives,2706 CROISSANT DES GRIVES,
2709,,Rue des Chardonnerets,Rue,des,Chardonnerets,2709 RUE DES CHARDONNERETS,
370,,Rue des Parterres,Rue,des,Parterres,370 RUE DES PARTERRES,
2625,,Rue Cantin,Rue,,Cantin,2625 RUE CANTIN,
2833,,Chemin Saint-Philippe,Chemin,,Saint-Philippe,2833 CH ST-PHILIPPE,
2121,,Avenue Pierre,Avenue,,Pierre,2121 AV PIERRE,
556,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs,556 RUE DES MARTINS-PECHEURS,
1445,,Avenue Louise,Avenue,,Louise,1445 AV LOUISE,
1294,,Rue Lionel-Groulx,Rue,,Lionel-Groulx,1294 RUE LIONEL-GROULX,
1288,,Rue Lionel-Groulx,Rue,,Lionel-Groulx,1288 RUE LIONEL-GROULX,
1448,,Croissant Lemelin,Croissant,,Lemelin,1448 CROISSANT LEMELIN,
698,,Rue Turenne,Rue,,Turenne,698 RUE TURENNE,
2239,,Rue de Davignac,Rue,de,Davignac,2239 RUE DE DAVIGNAC,
1571,,Rue Barott,Rue,,Barott,1571 RUE BAROTT,
1169,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,1169 CH STE-MARIE,
1157,,Chemin des Anglais,Chemin,des,Anglais,1157 CH DES ANGLAIS,
1890,,Rue Barott,Rue,,Barott,1890 RUE BAROTT,
837,,Rue Beaudoin,Rue,,Beaudoin,837 RUE BEAUDOIN,
527,,Rue Andrassy,Rue,,Andrassy,527 RUE ANDRASSY,
1995,,Rue Pigeon,Rue,,Pigeon,1995 RUE PIGEON,
1001,,Avenue de Charny,Avenue,de,Charny,1001 AV DE CHARNY,
2784,,Rue Gouin,Rue,,Gouin,2784 RUE GOUIN,
332,,Place Corbeil,Place,,Corbeil,332 PLACE CORBEIL,
2051,,4e Avenue,Avenue,,4e,2051 4E AV,
360,,Rue Martel,Rue,,Martel,360 RUE MARTEL,
1646,,Avenue Rawlinson,Avenue,,Rawlinson,1646 AV RAWLINSON,
665,,Avenue Crépeau,Avenue,,Crépeau,665 AV CREPEAU,
1313,,Rue d'Orléans,Rue,d',Orléans,1313 RUE D'ORLEANS,
459,,Place des Pluviers,Place,des,Pluviers,459 PLACE DES PLUVIERS,
2532,,Avenue de Maussac,Avenue,de,Maussac,2532 AV DE MAUSSAC,
1918,,Avenue de la Gare,Avenue,de la,Gare,1918 AV DE LA GARE,
3307,,Rue de Gaspé,Rue,de,Gaspé,3307 RUE DE GASPE,
2586,,Rue Cantin,Rue,,Cantin,2586 RUE CANTIN,
2418,,Croissant d'Auteuil,Croissant,d',Auteuil,2418 CROISSANT D'AUTEUIL,
933,,Rue des Épinettes,Rue,des,Épinettes,933 RUE DES EPINETTES,
2987,,Avenue Bourque,Avenue,,Bourque,2987 AV BOURQUE,
200,,Rue des Bosquets,Rue,des,Bosquets,200 RUE DES BOSQUETS,
943,,Rue Sauvé,Rue,,Sauvé,943 RUE SAUVE,
2613,,Rue Daudet,Rue,,Daudet,2613 RUE DAUDET,
2200,,Avenue de la Gare,Avenue,de la,Gare,2200 AV DE LA GARE,
2595,,Chemin Sainte-Marie,Chemin,,Sainte-Marie,2595 CH STE-MARIE,
3051,,Rue Lévesque,Rue,,Lévesque,3051 RUE LEVESQUE,
4575,,Chemin Gascon,Chemin,,Gascon,4575 CH GASCON,
635,,Croissant de Landreville,Croissant,de,Landreville,635 CROISSANT DE LANDREVILLE,
943,,Rue des Cerisiers,Rue,des,Cerisiers,943 RUE DES CERISIERS,
966,,Rue des Glaïeuls,Rue,des,Glaïeuls,966 RUE DES GLAIEULS,
997,,Rue Lapointe,Rue,,Lapointe,997 RUE LAPOINTE,
360,,Croissant du Trianon,Croissant,du,Trianon,360 CROISSANT DU TRIANON,
422,,Rue des Busards,Rue,des,Busards,422 RUE DES BUSARDS,
1138,,Rue d'Auvergne,Rue,d',Auvergne,1138 RUE D'AUVERGNE,
796,,Rue Mercier,Rue,,Mercier,796 RUE MERCIER,
1538,,Rue Center,Rue,,Center,1538 RUE CENTER,
436,,Rue Andrassy,Rue,,Andrassy,436 RUE ANDRASSY,
2179,,Avenue de la Gare,Avenue,de la,Gare,2179 AV DE LA GARE,
1510,,Rue Grignon,Rue,,Grignon,1510 RUE GRIGNON,
2343,,Boulevard de Mascouche,Boulevard,de,Mascouche,2343 BOUL DE MASCOUCHE,
733,,Chemin des Anglais,Chemin,des,Anglais,733 CH DES ANGLAIS,
385,,Croissant du Trianon,Croissant,du,Trianon,385 CROISSANT DU TRIANON,
4587,,Chemin Gascon,Chemin,,Gascon,4587 CH GASCON,
2550,,Rue des Faucons,Rue,des,Faucons,2550 RUE DES FAUCONS,
1380,,Avenue de Chambéry,Avenue,de,Chambéry,1380 AV DE CHAMBERY,
661,,Avenue Crépeau,Avenue,,Crépeau,661 AV CREPEAU,
1160,,Avenue Louise,Avenue,,Louise,1160 AV LOUISE,
2210,,Rue de Davignac,Rue,de,Davignac,2210 RUE DE DAVIGNAC,
1414,,Rue de Cherbourg,Rue,de,Cherbourg,1414 RUE DE CHERBOURG,
321,,Place des Pluviers,Place,des,Pluviers,321 PLACE DES PLUVIERS,
304,,Croissant de Castelnaud,Croissant,de,Castelnaud,304 CROISSANT DE CASTELNAUD,
263,,Place des Pluviers,Place,des,Pluviers,263 PLACE DES PLUVIERS,
27,,Avenue Napoléon,Avenue,,Napoléon,27 AV NAPOLEON,
2680,,Croissant des Grives,Croissant,des,Grives,2680 CROISSANT DES GRIVES,
2700,,Place des Sittelles,Place,des,Sittelles,2700 PLACE DES SITTELLES,
2766,,Croissant des Roitelets,Croissant,des,Roitelets,2766 CROISSANT DES ROITELETS,
2785,,Rue de Bordeaux,Rue,de,Bordeaux,2785 RUE DE BORDEAUX,
