NoCiv,NoCivSuf,nomrue,OdoGener,OdoParti,OdoSpeci
1545,,Rue de Côte-d'Ivoire,Rue,de,Côte-d'Ivoire
398,,Rue de Saint-Gabriel,Rue,de,Saint-Gabriel
1327,,Avenue du Mistral,Avenue,du,Mistral
2556,,Rue de Saint-Étienne,Rue,de,Saint-Étienne
315,,Avenue de l'Étang,Avenue,de l',Étang
357,,Croissant de Castelnaud,Croissant,de,Castelnaud
2492,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
2590,,Rue Landry,Rue,,Landry
440,,Montée Masson,Montée,,Masson
2886,,Rue Desportes,Rue,,Desportes
640,,Rue de Montmartre,Rue,de,Montmartre
3066,,Avenue Bourque,Avenue,,Bourque
65,,Chemin Pincourt,Chemin,,Pincourt
1220,,Rue des Fontaines,Rue,des,Fontaines
673,,Rue de Pompadour,Rue,de,Pompadour
1896,,Avenue de la Gare,Avenue,de la,Gare
204,,Rue Mactier,Rue,,Mactier
3042,,Place Daveluy,Place,,Daveluy
90,,Chemin Pincourt,Chemin,,Pincourt
1307,,Rue Moorecrest,Rue,,Moorecrest
2772,,Rue Principale,Rue,,Principale
350,,Place des Pluviers,Place,des,Pluviers
2829,,Rue d'Antibes,Rue,d',Antibes
840,,Rue Brien,Rue,,Brien
473,,Rue Terry-Fox,Rue,,Terry-Fox
1861,,Rue Maple,Rue,,Maple
3605,,Chemin Gascon,Chemin,,Gascon
755,,Place des Taillis,Place,des,Taillis
2035,,5e Avenue,Avenue,,5e
1457,,Rue de l'Aigle,Rue,de l',Aigle
1382,,Avenue Louise,Avenue,,Louise
2854,,Avenue Bourque,Avenue,,Bourque
3056,,Rue Perrier,Rue,,Perrier
622,,Rue de Montmartre,Rue,de,Montmartre
910,,Chemin des Anglais,Chemin,des,Anglais
907,,Avenue De Maupassant,Avenue,,De Maupassant
3164,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
1474,,Chemin Saint-Henri,Chemin,,Saint-Henri
1064,,Rue Lamartine,Rue,,Lamartine
1079,,Avenue Dupuis,Avenue,,Dupuis
1630,,Rue Barott,Rue,,Barott
2361,,Avenue de la Gare,Avenue,de la,Gare
1013,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
2054,,Rue Rochon,Rue,,Rochon
523,,Rue Terry-Fox,Rue,,Terry-Fox
726,,Place de la Brise,Place,de la,Brise
791,,Place de la Brise,Place,de la,Brise
243,,Place Christie,Place,,Christie
473,,Chemin des Anglais,Chemin,des,Anglais
2311,,Rue de Chenonceau,Rue,de,Chenonceau
976,,Rue de Lévis,Rue,de,Lévis
3550,,Rue de Jean-Talon,Rue,de,Jean-Talon
109,,Montée Masson,Montée,,Masson
433,,Rue Andrassy,Rue,,Andrassy
749,,Rue Duhamel,Rue,,Duhamel
1492,,Rue Boissonneault,Rue,,Boissonneault
435,,Rue Louis-Hébert,Rue,,Louis-Hébert
381,,Croissant du Trianon,Croissant,du,Trianon
1389,,Avenue Dupuis,Avenue,,Dupuis
2293,,Rue de Fontainebleau,Rue,de,Fontainebleau
1317,,Rue Lionel-Groulx,Rue,,Lionel-Groulx
502,,Avenue Crépeau,Avenue,,Crépeau
516,,Rue des Martins-Pêcheurs,Rue,des,Martins-Pêcheurs
1351,,Avenue de Normandie,Avenue,de,Normandie
2910,,Chemin Sainte-Marie,Chemin,,Sainte-Marie
576,,Place des Colibris,Place,des,Colibris
533,,Rue du Grand-Héron,Rue,du,Grand-Héron
1551,,Rue Grignon,Rue,,Grignon
497,,Croissant du Trianon,Croissant,du,Trianon
2603,,Avenue de Maussac,Avenue,de,Maussac
472,,Avenue de l'Étang,Avenue,de l',Étang
2500,,Boulevard de Mascouche,Boulevard,de,Mascouche
2759,,Rue d'Angers,Rue,d',Angers
2679,,Rue du Verger,Rue,du,Verger
736,,Rue de Pompadour,Rue,de,Pompadour
996,,Rue des Épinettes,Rue,des,Épinettes
1275,,Rue Circle,Rue,,Circle
1912,,Chemin Saint-Henri,Chemin,,Saint-Henri
3113,,Boulevard de Mascouche,Boulevard,de,Mascouche
460,,Rue Jordan,Rue,,Jordan
3061,,Avenue Bourque,Avenue,,Bourque
3095,,Rue Patenaude,Rue,,Patenaude
2678,,Croissant des Grives,Croissant,des,Grives
2061,,Rue Rochon,Rue,,Rochon
2149,,Boulevard de Mascouche,Boulevard,de,Mascouche
640,,Rue Brien,Rue,,Brien
1327,,Rue de Brest,Rue,de,Brest
2598,,Avenue de la Gare,Avenue,de la,Gare
1586,,Rue Supérieur,Rue,,Supérieur
402,,Rue Caron,Rue,,Caron
1115,,Chemin Pincourt,Chemin,,Pincourt
300,,Rue des Bosquets,Rue,des,Bosquets
1534,,Rue Grignon,Rue,,Grignon
1047,,Rue des Glaïeuls,Rue,des,Glaïeuls
1073,,Chemin des Anglais,Chemin,des,Anglais
5,,Chemin Newton,Chemin,,Newton
2815,,Chemin Saint-Philippe,Chemin,,Saint-Philippe
